Date,Close
4/24/2017 ,172.33
4/25/2017 ,172.68
4/26/2017 ,176.8
4/27/2017 ,177.45
4/28/2017 ,177.52
5/1/2017 ,177.86
5/2/2017 ,178.59
5/3/2017 ,179.82
5/4/2017 ,182.45
5/5/2017 ,180.2
5/8/2017 ,172.64
5/9/2017 ,172.68
5/10/2017 ,171.35
5/11/2017 ,171.26
5/12/2017 ,170.88
5/15/2017 ,171.57
5/16/2017 ,171
5/17/2017 ,169.15
5/18/2017 ,170.72
5/19/2017 ,171.64
5/22/2017 ,172.4
5/23/2017 ,172.47
5/24/2017 ,173.01
5/25/2017 ,174.73
5/26/2017 ,177.86
5/30/2017 ,178.92
5/31/2017 ,180.43
6/1/2017 ,180.63
6/2/2017 ,180.97
6/5/2017 ,182.08
6/6/2017 ,181.45
6/7/2017 ,182.2
6/8/2017 ,181.41
6/9/2017 ,180.38
6/12/2017 ,179.64
6/13/2017 ,180.51
6/14/2017 ,181.67
6/15/2017 ,180.06
6/16/2017 ,167.11
6/19/2017 ,164.34
6/20/2017 ,162.9
6/21/2017 ,163.15
6/22/2017 ,159.79
6/23/2017 ,157.13
6/26/2017 ,160.2
6/27/2017 ,159.26
6/28/2017 ,160.17
6/29/2017 ,158.68
6/30/2017 ,159.93
7/3/2017 ,158.82
7/5/2017 ,158.02
7/6/2017 ,157.09
7/7/2017 ,154.11
7/10/2017 ,151
7/11/2017 ,151.11
7/12/2017 ,151.75
7/13/2017 ,153.6
7/14/2017 ,153
7/17/2017 ,152.84
7/18/2017 ,151.5
7/19/2017 ,151.24
7/20/2017 ,150.99
7/21/2017 ,150.44
7/24/2017 ,151
7/25/2017 ,153.17
7/26/2017 ,152.09
7/27/2017 ,152.52
7/28/2017 ,152.89
7/31/2017 ,158.51
8/1/2017 ,159.72
8/2/2017 ,161.28
8/3/2017 ,157.91
8/4/2017 ,156.44
8/7/2017 ,156.95
8/8/2017 ,157.75
8/9/2017 ,156.86
8/10/2017 ,156.64
8/11/2017 ,156.65
8/14/2017 ,157.91
8/15/2017 ,156.88
8/16/2017 ,159.76
8/17/2017 ,158.57
8/18/2017 ,157.08
8/21/2017 ,157.07
8/22/2017 ,158.7
8/23/2017 ,159.37
8/24/2017 ,151.33
8/25/2017 ,152.45
8/28/2017 ,152.55
8/29/2017 ,153.56
8/30/2017 ,154.44
8/31/2017 ,156.74
9/1/2017 ,158.24
9/5/2017 ,159.14
9/6/2017 ,158.86
9/7/2017 ,159.28
9/8/2017 ,157.31
9/11/2017 ,157.36
9/12/2017 ,160.04
9/13/2017 ,162.99
9/14/2017 ,162.37
9/15/2017 ,162.3
9/18/2017 ,160.91
9/19/2017 ,161.56
9/20/2017 ,162.85
9/21/2017 ,161.48
9/22/2017 ,161.29
9/25/2017 ,162.33
9/26/2017 ,164.07
9/27/2017 ,164.42
9/28/2017 ,163.9
9/29/2017 ,164.29
10/2/2017 ,165.89
10/3/2017 ,165.08
10/4/2017 ,165.21
10/5/2017 ,167.07
10/6/2017 ,157.09
10/9/2017 ,154.61
10/10/2017 ,156.87
10/11/2017 ,157.87
10/12/2017 ,157.22
10/13/2017 ,159.85
10/16/2017 ,158.81
10/17/2017 ,158.38
10/18/2017 ,157.55
10/19/2017 ,158.46
10/20/2017 ,160.77
10/23/2017 ,162.04
10/24/2017 ,162.29
10/25/2017 ,162.18
10/26/2017 ,162.46
10/27/2017 ,162.38
10/30/2017 ,160.23
10/31/2017 ,161.08
11/1/2017 ,162.69
11/2/2017 ,164.95
11/3/2017 ,166.44
11/6/2017 ,165.05
11/7/2017 ,166.28
11/8/2017 ,169.05
11/9/2017 ,169.11
11/10/2017 ,171.36
11/13/2017 ,171.46
11/14/2017 ,171.44
11/15/2017 ,169
11/16/2017 ,170.98
11/17/2017 ,170.98
11/20/2017 ,172.28
11/21/2017 ,173.42
11/22/2017 ,172.48
11/24/2017 13:00:00,171.62
11/27/2017 ,172.61
11/28/2017 ,173.65
11/29/2017 ,177.53
11/30/2017 ,184.43
12/1/2017 ,185.13
12/4/2017 ,189.56
12/5/2017 ,187.82
12/6/2017 ,187.22
12/7/2017 ,186.2
12/8/2017 ,188.07
12/11/2017 ,188.86
12/12/2017 ,188.3
12/13/2017 ,188.28
12/14/2017 ,186.53
12/15/2017 ,192.73
12/18/2017 ,192.31
12/19/2017 ,188.33
12/20/2017 ,187.51
12/21/2017 ,186.8
12/22/2017 ,186.63
12/26/2017 ,186.55
12/27/2017 ,186.3
12/28/2017 ,186.62
12/29/2017 ,186.12
1/2/2018 ,188.32
1/3/2018 ,190.58
1/4/2018 ,189.1
